Condition,TTF_hr
Before LOP,8.64
Before LOP,9.6
Before LOP,9.68
Before LOP,10
Before LOP,10.56
Before LOP,10.8
Before LOP,13.2
Before LOP,13.44
Before LOP,13.76
Before LOP,14.96
Before LOP,15.28
Before LOP,15.68
Before LOP,15.84
Before LOP,17.12
Before LOP,17.6
Before LOP,18.4
Before LOP,19.84
Before LOP,20.32
Before LOP,20.88
Before LOP,22.32
Before LOP,22.72
Before LOP,24.48
Before LOP,24.64
Before LOP,25.2
Before LOP,26.08
Before LOP,29.6
Before LOP,30.4
Before LOP,32.8
Before LOP,34.4
Before LOP,35.6
After LOP,18.816
After LOP,21.696
After LOP,22.4
After LOP,23.04
After LOP,23.168
After LOP,24.96
After LOP,25.344
After LOP,27.2
After LOP,27.328
After LOP,27.84
After LOP,29.12
After LOP,29.312
After LOP,30.4
After LOP,31.68
After LOP,31.808
After LOP,32.832
After LOP,33.536
After LOP,35.2
After LOP,35.328
After LOP,36.864
After LOP,37.568
After LOP,39.68
After LOP,39.744
After LOP,41.472
After LOP,43.648
After LOP,44.48
After LOP,45.376
After LOP,48.32
After LOP,48.832
After LOP,51.264